fen,time,move,val
r1bqkb1r/ppp2ppp/2n2n2/3pp3/4P3/3P1N2/PPPNBPPP/R1BQK2R b KQkq - 0 1,1,f8c5,-0.15
r1bqk2r/ppp2ppp/2n2n2/2bpp3/4P3/3P1N2/PPPNBPPP/R1BQK2R w KQkq - 0 1,1,c2c3,-0.2
rnbqkb1r/pppp1ppp/5n2/4p3/8/3P2P1/PPP1PPBP/RNBQK1NR b KQkq - 0 1,1,d7d5,-0.08
rnbqkb1r/ppp2ppp/5n2/3pp3/8/3P2P1/PPP1PPBP/RNBQK1NR w KQkq - 0 1,1,g1f3,-0.12
rnbqkb1r/ppp2ppp/5n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq - 0 1,1,b8c6,-0.03
rnbqk2r/ppp2ppp/3b1n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq - 0 1,1,e2e4,-0.05
rnbqk2r/ppp2ppp/3b1n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq - 0 1,1,e8g8,-0.18
rnbq1rk1/ppp2ppp/3b1n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w - - 0 1,1,c2c4,-0.15
rnbq1rk1/ppp2ppp/3b1n2/3pp3/8/2NP1NP1/PPP1PPBP/R1BQ1RK1 b - - 0 1,1,f8e8,-0.19
rnbq1rk1/pp3ppp/2pb1n2/3pp3/8/2NP1NP1/PPP1PPBP/R1BQ1RK1 w - - 0 1,1,e2e4,-0.14
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,8,g8f6,0.06
rnbqkbnr/pppppp1p/6p1/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 1,1,d2d4,0.3
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 1,1,g8f6,0.41
rnbqk2r/ppp1ppbp/3p1np1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,1,c1e3,0.33
rnbqkbnr/pppppp1p/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 0 1,1,c7c5,0.25
rnbqk1nr/ppppppbp/6p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1,d2d4,0.46
rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 1,8,d7d5,0.38
rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 1,8,c1e3,0.5
rnbqk1nr/ppp1ppbp/3p2p1/6B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 0 1,1,a7a6,0.37
r1bqk1nr/ppp1ppbp/2np2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,1,c1e3,0.58
rnbqk1nr/pppp1ppp/8/2b1p3/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1,g1f3,0.2
rnbqkbnr/pppp1ppp/8/4p3/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 0 1,1,b8c6,0.25
r1bqkbnr/pppp1ppp/2n5/4p3/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 1,1,d2d4,0.22
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 0 1,8,g8f6,0.09
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 1,8,e5d4,0.06
r1bqkb1r/pppp1ppp/2n2n2/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 1,8,f3d4,0.06
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 1,8,f8b4,0.04
r1bqk2r/pppp1ppp/2n2n2/8/1b1NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 1,8,d4c6,0.02
r1bqk2r/pppp1ppp/2N2n2/8/1b2P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 1,1,b7c6,0.1
r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 1,1,f1d3,0.09
r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq - 0 1,1,e8g8,0.09
r1bq1rk1/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R w KQ - 0 1,8,e1g1,0.08
r1bq1rk1/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQ1RK1 b - - 0 1,1,d7d5,0.1
r1bq1rk1/p1p2ppp/2p2n2/3p4/1b2P3/2NB4/PPP2PPP/R1BQ1RK1 w - - 0 1,1,e4d5,0.07
r1bq1rk1/p1p2ppp/2p2n2/3P4/1b6/2NB4/PPP2PPP/R1BQ1RK1 b - - 0 1,1,c6d5,0.08
r1bq1rk1/p1p2ppp/5n2/3p4/1b6/2NB4/PPP2PPP/R1BQ1RK1 w - - 0 1,1,h2h3,0.02
r1bqkbnr/pppp1ppp/2n5/4p3/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 0 1,1,e5d4,0.22
r1bqkbnr/pppp1ppp/2n5/8/3p4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 0 1,1,f3d4,0.26
r1bqkbnr/pppp1ppp/2n5/8/3N4/2N5/PPP1PPPP/R1BQKB1R b KQkq - 0 1,1,g8f6,0.2
r1bqkb1r/pppp1ppp/2n2n2/8/3N4/2N5/PPP1PPPP/R1BQKB1R w KQkq - 0 1,1,c1g5,0.22
r1bqkb1r/pppp1ppp/2n2n2/6B1/3N4/2N5/PPP1PPPP/R2QKB1R b KQkq - 0 1,1,f8b4,0.24
r1bqk2r/pppp1ppp/2n2n2/6B1/1b1N4/2N5/PPP1PPPP/R2QKB1R w KQkq - 0 1,1,d4c6,0.16
rnbqkb1r/ppp1pppp/5n2/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq - 0 1,1,d2d4,-0.09
rnbqkbnr/ppp1pppp/8/8/3pP3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1,c3e2,-0.38
rnbqkbnr/ppp1pppp/8/8/3pP3/8/PPPPNPPP/R1BQKBNR b KQkq - 0 1,1,e7e5,-0.39
rnbqkbnr/ppp2ppp/8/4p3/3pP3/8/PPPPNPPP/R1BQKBNR w KQkq - 0 1,1,a2a3,-0.39
rnbqkbnr/ppp2ppp/8/4p3/3pP3/6N1/PPPP1PPP/R1BQKBNR b KQkq - 0 1,1,c8e6,-0.39
rn1qkbnr/ppp2ppp/4b3/4p3/3pP3/6N1/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1,f1b5,-0.36
rn1qkbnr/ppp2ppp/4b3/4p3/3pP3/5NN1/PPPP1PPP/R1BQKB1R b KQkq - 0 1,1,f7f6,-0.47
rn1qkbnr/ppp3pp/4bp2/4p3/3pP3/5NN1/PPPP1PPP/R1BQKB1R w KQkq - 0 1,1,f1b5,-0.41
rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 1,1,d2d4,0.17
rnbqkbnr/pp2pppp/2p5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 1,1,d5e4,0.26
